"","DiscoverySample","ReplicationSample1","ReplicationSample2","Sample2Retest"
"DiscoverySample",1,0.140201100383335,0.0437619751989355,3.48784996641352e-05
"ReplicationSample1",0.140201100383335,1,0.489596200270925,0.0122829626201594
"ReplicationSample2",0.0437619751989355,0.489596200270925,1,0.114270962461873
"Sample2Retest",3.48784996641352e-05,0.0122829626201594,0.114270962461873,1
