"","DiscoverySample","ReplicationSample1","ReplicationSample2","Sample2Retest"
"DiscoverySample",1,0.121674316039042,0.915744562185561,0.000559731608411185
"ReplicationSample1",0.121674316039042,1,0.325509917622112,0.0664082048706071
"ReplicationSample2",0.915744562185561,0.325509917622112,1,0.0137470150367657
"Sample2Retest",0.000559731608411185,0.0664082048706071,0.0137470150367657,1
