"","DiscoverySample","ReplicationSample1","ReplicationSample2","Sample2Retest"
"DiscoverySample",1,0.493625855798855,0.79782099858933,0.829854253836558
"ReplicationSample1",0.493625855798855,1,0.466714548385729,0.498567809168508
"ReplicationSample2",0.79782099858933,0.466714548385729,1,0.980661891976369
"Sample2Retest",0.829854253836558,0.498567809168508,0.980661891976369,1
