"","DiscoverySample","ReplicationSample1","ReplicationSample2","Sample2Retest"
"DiscoverySample",1,0.728634558741833,0.0618875483779552,0.0514603855970964
"ReplicationSample1",0.728634558741833,1,0.0604637519466855,0.0504344997940049
"ReplicationSample2",0.0618875483779552,0.0604637519466855,1,0.90049099146979
"Sample2Retest",0.0514603855970964,0.0504344997940049,0.90049099146979,1
