"","DiscoverySample","ReplicationSample1","ReplicationSample2","Sample2Retest"
"DiscoverySample",0,-1.46880718619064,-1.47997030481259,0.669458474203815
"ReplicationSample1",-1.46880718619064,0,-0.238321180612881,1.61726425165104
"ReplicationSample2",-1.47997030481259,-0.238321180612881,0,1.66427480738509
"Sample2Retest",0.669458474203815,1.61726425165104,1.66427480738509,0
