"","DiscoverySample","ReplicationSample1","ReplicationSample2","Sample2Retest"
"DiscoverySample",1,0.00559188788739058,0.382199981645675,0.0925793373188099
"ReplicationSample1",0.00559188788739058,1,0.302231029030335,0.545926771709067
"ReplicationSample2",0.382199981645675,0.302231029030335,1,0.641105236844095
"Sample2Retest",0.0925793373188099,0.545926771709067,0.641105236844095,1
