"","DiscoverySample","ReplicationSample1","ReplicationSample2","Sample2Retest"
"DiscoverySample",1,0.146346031520118,0.518178669500278,0.0079518651727453
"ReplicationSample1",0.146346031520118,1,0.676579645180645,0.231702926427872
"ReplicationSample2",0.518178669500278,0.676579645180645,1,0.165191090536245
"Sample2Retest",0.0079518651727453,0.231702926427872,0.165191090536245,1
