"","DiscoverySample","ReplicationSample1","ReplicationSample2","Sample2Retest"
"DiscoverySample",1,0.946285040101837,0.637679884816159,0.098283818416893
"ReplicationSample1",0.946285040101837,1,0.634299908399367,0.157132521476465
"ReplicationSample2",0.637679884816159,0.634299908399367,1,0.104591302905172
"Sample2Retest",0.098283818416893,0.157132521476465,0.104591302905172,1
