"","DiscoverySample","ReplicationSample1","ReplicationSample2","Sample2Retest"
"DiscoverySample",0,-1.47504256434161,-2.01636353934079,-4.13902496630057
"ReplicationSample1",-1.47504256434161,0,-0.690951213748125,-2.50390898680955
"ReplicationSample2",-2.01636353934079,-0.690951213748125,0,-1.57928385893001
"Sample2Retest",-4.13902496630057,-2.50390898680955,-1.57928385893001,0
