"tdcs","neurocaps_mcr","neurocaps_ocr","tacs"
NA,0.0507413771923921,0.0254676677088325,-0.0706221066208262
0.0507413771923921,NA,-0.0223337376229321,-0.0953880498173502
0.0254676677088325,-0.0223337376229321,NA,-0.0776113229834887
-0.0706221066208262,-0.0953880498173502,-0.0776113229834887,NA
